aquerrard0,jIvKJvGjIW,Adrien,Querrard,aquerrard0@iastate.edu,132659771,0
nopenshaw1,VrE59X,Ninnetta,Openshaw,nopenshaw1@iastate.edu,885035651,0
bruspine2,xjTgSog4F9nO,Blair,Ruspine,bruspine2@iastate.edu,734887536,0
mmilley3,gEnwWx8IwT,Michel,Milley,mmilley3@iastate.edu,719361230,0
rgaughan4,VuP6Ely,Rand,Gaughan,rgaughan4@iastate.edu,610800659,0
ebirtwistle5,OkghUKoEJ9LP,Evie,Birtwistle,ebirtwistle5@iastate.edu,836743924,0
agianiello6,LP4I93ZaBf6R,Adriana,Gianiello,agianiello6@iastate.edu,203686880,0
rlewtey7,xljGPSfH,Rosalia,Lewtey,rlewtey7@iastate.edu,208478794,0
gromme8,yWqG7lUUT,Gisella,Romme,gromme8@iastate.edu,118494782,0
ldeville9,5HOEgDNQJ,Leonid,De-Ville,ldeville9@iastate.edu,156657602,0
gpealinga,guUd3wXq6,Gates,Pealing,gpealinga@iastate.edu,243394634,0
oocorrinb,74dxTfYK,Oriana,O'Corrin,oocorrinb@iastate.edu,330042299,0
tcasarilic,QPBiGDh,Trevar,Casarili,tcasarilic@iastate.edu,748060352,0
cmatschked,weZJ9nz1,Chrystal,Matschke,cmatschked@iastate.edu,664597785,0
mdrenge,ffNZs47m,Marten,Dreng,mdrenge@iastate.edu,176448561,0
kwaggf,E7MtQg2bi,Karoly,Wagg,kwaggf@iastate.edu,173556473,0
lpaulerg,Z7PoVBZiOi,Linus,Pauler,lpaulerg@iastate.edu,530399730,0
lshelveyh,o7RWrEl,Lisha,Shelvey,lshelveyh@iastate.edu,924040798,0
teyteli,HLDQna5Z5QVS,Tilly,Eytel,teyteli@iastate.edu,700665453,0
aashlinj,CdXm1TiX,Alexandrina,Ashlin,aashlinj@iastate.edu,288985279,0
ikohnemannk,4fVGJd,Irene,Kohnemann,ikohnemannk@iastate.edu,240628904,0
mbarreaul,xly1VxeRBW,Mona,Barreau,mbarreaul@iastate.edu,433573273,0
zquintonm,zvZi72,Zane,Quinton,zquintonm@iastate.edu,554664667,0
bblackbornen,SoCalUZQu,Babbie,Blackborne,bblackbornen@iastate.edu,773761011,0
gtreveso,xDVBS4MT6zv,Gaby,Treves,gtreveso@iastate.edu,316057514,0
relenp,QEILh1,Rudolf,Elen,relenp@iastate.edu,497146409,0
ffautleyq,4gGHaqrrqS,Franklin,Fautley,ffautleyq@iastate.edu,926797508,0
hkissickr,WC8eUqEWyf,Haskell,Kissick,hkissickr@iastate.edu,659363397,0
ejonathons,2DOEaNFuz,Ermanno,Jonathon,ejonathons@iastate.edu,560628381,0
mdomengett,LcaBhTO,Maurine,Domenget,mdomengett@iastate.edu,137439155,0
bquelchu,e4l1hQcjsBa3,Barby,Quelch,bquelchu@iastate.edu,311236899,0
kmearsv,5DHeGi,Kristel,Mears,kmearsv@iastate.edu,678876878,0
iloadw,gu25QAPaz,Idalia,Load,iloadw@iastate.edu,323794035,0
agierckx,Q0dodOp8ch,Anet,Gierck,agierckx@iastate.edu,966505580,0
rmourguey,DmOV5LjY,Rhetta,Mourgue,rmourguey@iastate.edu,149800765,0
apollittz,956ggt,Angelico,Pollitt,apollittz@iastate.edu,412020684,0
bfrandsen10,DaKkFYAybcp3,Brenden,Frandsen,bfrandsen10@iastate.edu,156277636,0
fstarford11,oo0JuQJzMVxU,Fredia,Starford,fstarford11@iastate.edu,339563328,0
rconkay12,U5olRwRE,Rusty,Conkay,rconkay12@iastate.edu,421973204,0
gjosefovic13,ovk27Yxwt5w,Guglielma,Josefovic,gjosefovic13@iastate.edu,166647627,0
icaiger14,zCUpPLy,Isiahi,Caiger,icaiger14@iastate.edu,747895143,0
mclynmans15,dVbJ6dgzc,Mitchel,Clynmans,mclynmans15@iastate.edu,136387173,0
cstrauss16,Am0K4Ef,Cortie,Strauss,cstrauss16@iastate.edu,447930709,0
cbrazear17,Igpsmk3P,Chelsae,Brazear,cbrazear17@iastate.edu,922485091,0
hwaylen18,yJRLEgxHD,Hedi,Waylen,hwaylen18@iastate.edu,373494931,0
dyerill19,QEHJCUe,Dallon,Yerill,dyerill19@iastate.edu,151769821,0
amccartney1a,rMyJRzxKzqGO,Alphonse,McCartney,amccartney1a@iastate.edu,811897855,0
mhuonic1b,3VNnLyXVV5V6,Maressa,Huonic,mhuonic1b@iastate.edu,289271400,0
nwheway1c,rzq4ht5,Noelani,Wheway,nwheway1c@iastate.edu,711464127,0
yameerbeg1d,AkLyTpMa5TJ,Yevette,Ameer-Beg,yameerbeg1d@iastate.edu,256168107,0
sstitch1e,FxbyUCkn,Shaylah,Stitch,sstitch1e@iastate.edu,774421541,0
egiovannacci1f,BOb1Q80,Eddie,Giovannacci,egiovannacci1f@iastate.edu,806190128,0
nfansy1g,SeZd0oL,Nelson,Fansy,nfansy1g@iastate.edu,219038992,0
istrowan1h,TY8tgJs5mt1j,Ivie,Strowan,istrowan1h@iastate.edu,149818748,0
bwinterbottom1i,uubQ9kaxbU,Biddy,Winterbottom,bwinterbottom1i@iastate.edu,679464300,0
wbrussels1j,04RBcPa,Westbrooke,Brussels,wbrussels1j@iastate.edu,765114874,0
skennedy1k,SOGhMGsjm,Sharleen,Kennedy,skennedy1k@iastate.edu,860450706,0
jhardie1l,trKTtfFKHb,Jorie,Hardie,jhardie1l@iastate.edu,162427156,0
gharrower1m,yxMYslhCII,Grant,Harrower,gharrower1m@iastate.edu,807604975,0
hjerrome1n,EoRh37zf,Hadley,Jerrome,hjerrome1n@iastate.edu,774003414,0
tdalgardno1o,1MFOeZgeTy,Tobin,Dalgardno,tdalgardno1o@iastate.edu,428623885,0
kmayor1p,Y7fOqvezJuj,Kristian,Mayor,kmayor1p@iastate.edu,816502050,0
